Countryofbirth,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,13984720,14128840,14297370,14466970,14643100,14822350,14944520,15065240,15179770,15299750,15419340,15594370,15771300,15961770,16150390,16321840,16519460,16719390,16905450,17086270,17278800,17462420,17649270,17831920,18043310
Norfolk Island(d),190,230,220,230,230,190,180,170,180,180,190,220,230,250,260,270,300,330,330,330,770,830,820,820,810
"Aust E T, nec",10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,312240,320660,328280,345660,365060,389600,402380,409500,413980,423550,437890,458020,483660,504440,517780,543950,569630,585390,583660,575430,568170,567290,567730,568180,564840
New Caledonia,1190,1270,1270,1250,1210,1160,1240,1260,1260,1260,1240,1270,1320,1380,1460,1450,1470,1490,1500,1560,1590,1620,1530,1510,1500
PNG,26120,25760,25730,25640,25610,25640,25910,26300,26570,26890,27330,28000,28890,29530,30050,30650,31530,32390,33020,33510,34260,34630,34610,34760,35270
Solomon Islands,1260,1240,1300,1340,1400,1440,1500,1540,1580,1640,1700,1750,1820,1900,1930,2020,2090,2180,2220,2300,2360,2430,2470,2500,2800
Vanuatu,1020,1040,1050,1070,1060,1040,1100,1140,1160,1180,1210,1220,1230,1230,1300,1300,1350,1410,1400,1380,1400,1430,1420,1640,4030
Guam,40,40,40,50,50,50,50,60,70,80,90,90,90,90,100,100,110,110,120,120,120,120,120,130,130
Kiribati,410,430,450,450,440,430,450,460,480,490,480,490,530,560,610,600,610,630,640,650,640,680,740,790,870
Marshall Is,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,50,50,40,40,40
"Micronesia, F S",10,20,20,20,20,20,20,30,30,30,30,20,20,20,20,20,30,30,40,40,30,30,30,30,30
Nauru,490,500,510,500,500,480,520,540,560,570,580,610,620,640,630,620,640,670,660,690,710,720,700,750,810
N Mariana Is,0,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,30,30,30,30,30,30,30,40
Palau,10,10,10,10,20,20,10,20,10,10,10,10,10,10,10,20,20,30,20,30,30,30,30,30,30
